job_key,source_dataset,snapshot_date,source_url,job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,job_skills,job_summary
linkedin:3802078767,archive,2024-01-15,https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,2024-01-21 07:12:29.00256+00,1,1,0,Account Executive - Dispensing (NorCal/Northern Nevada) - Becton Dickinson,BD,"San Diego, CA",2024-01-15,Coronado,United States,Color Maker,Mid senior,Onsite,"Medical equipment sales, Key competitors, Terminology, Technology, Trends, Challenges, Reimbursement, Government regulation, BD offerings, Pipeline management, Opportunity planning, Solution Sales Process, Customer relationships, Collaboration, Negotiation, Internal and external customer satisfaction, Trust building, Sales opportunities, New solution introduction, Pharmacy, IT, Nursing, Csuite, Bachelor's Degree, Travel, Driver's license","Responsibilities Job Description Summary Job Description We are the makers of possible BD is one of the largest global medical technology companies in the world. Advancing the world of health™ is our Purpose, and it’s no small feat. It takes the imagination and passion of all of us—from design and engineering to the manufacturing and marketing of our billions of MedTech products per year—to look at the impossible and find transformative solutions that turn dreams into possibilities. We believe that the human element, across our global teams, is what allows us to continually evolve. Join us and discover an environment in which you’ll be supported to learn, grow and become your best self. Become a maker of possible with us. Job Title: Account Executive- Acute Care Territory: Northern California, Northern Nevada - Must live in the geographical ar Summary The Account Executive is responsible for driving sales and services to new and existing customers. They are responsible for maximizing customer value and satisfaction by aligning complex product solutions and services with key customer initiatives. Additional responsibilities include building and maintaining relationships with key decision makers or potential influencers; and managing a longer sales cycle. What is expected of you for success in your role Demonstrates advanced knowledge of BD and customer industry, including: key competitors, terminology, technology, trends, challenges, reimbursement and government regulation; demonstrates advance knowledge of how BD offerings match with customers' unique business needs. Serves as a leader in maintaining balance in all areas of the pipeline, ensuring consistent sustainable results; manages pipeline independently within own business unit Creates and executes an opportunity plan independently which drives consistent results Consistently utilizes all resources available within own business unit and frequently involves other business units in consistently executing the Solution Sales Process What is expected of you and others at this level in Direct Sales Applies knowledge of the customer's business to develop optimal solutions Proactively and with a regular cadence demonstrates to the customer the defined value of partnering with BD both pre- and post-sales Effectively negotiates and collaborates with the customer and colleagues to influence support for mutually beneficial outcomes and achieve consensus Builds and sustains relationships founded on trust with internal and external customers and ensures customer satisfaction and loyalty Identifies and qualifies new sales opportunities and develops plans for introducing new solutions through collaborative relationships Qualifications 2-3 years successful medical equipment sales (capital is preferred) Pharmacy, IT, Nursing, C-suite call point Ability to manage a long sales cycle Travel up to 50% of the time Bachelor’s Degree Valid driver’s license Must live in territory For certain roles at BD, employment is contingent upon the Company’s receipt of sufficient proof that you are fully vaccinated against COVID-19. In some locations, testing for COVID-19 may be available and/or required. Consistent with BD’s Workplace Accommodations Policy, requests for accommodation will be considered pursuant to applicable law. Why Join Us? A career at BD means being part of a team that values your opinions and contributions and that encourages you to bring your authentic self to work. It’s also a place where we help each other be great, we do what’s right, we hold each other accountable, and learn and improve every day. To find purpose in the possibilities, we need people who can see the bigger picture, who understand the human story that underpins everything we do. We welcome people with the imagination and drive to help us reinvent the future of health. At BD, you’ll discover a culture in which you can learn, grow, and thrive. And find satisfaction in doing your part to make the world a better place. To learn more about BD visit https://bd.com/careers Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status. PDN Primary Work Location USA CA - San Diego Bldg A&B Additional Locations Work Shift Apply Show more Show less"
linkedin:3803386312,archive,2024-01-14,https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,2024-01-21 07:39:58.88137+00,1,1,0,Registered Nurse - RN Care Manager,Trinity Health MI,"Norton Shores, MI",2024-01-14,Grand Haven,United States,Director Nursing Service,Mid senior,Onsite,"Nursing, Bachelor of Science in Nursing, Masters Degree in Nursing, Care management experience, Clinical experience in nursing, Licensure to practice nursing in Michigan, Population management, Selfmanagement, Education, Oversight of registries, Patient education, Patient selfmanagement, Patient care coordination, Chronic condition management, Complex illness management, Hospitalization avoidance, Emergency room visit avoidance","Employment Type: Full time Shift: Description: Position Title: RN Care Manager Highlights: Full time M-F (8-5 pm) No weekends, no holidays, and no on-call expectations! Great opportunity for career progression in a professional nursing specialty. On site position embedded in the practice (one day a week remote work option) Amazing team to work with! Positions based along the Lakeshore in West Michigan (Office locations range from West Olive all the way to Ludington MI) POSITION SUMMARY: The Care Manager RN is a professional nurse who collaborates with physicians, facilities, health care team members and patient/families to manage chronic conditions/complex illness and coordinate care for specific patient populations across the continuum and between care settings. They Care Manager RN performs the duties of both the Complex and Moderate Care Manager in the Patient Centered Medical Home. What the RN Hybrid Care Manager will do: Participate and engage their patients in the assessment, planning, monitoring and evaluation of the ongoing care for chronic condition/complex illness management. Establish plans of care including patient education and self-management, coordinating resources for effective, efficient and appropriate patient care. Provide ongoing monitoring and evaluation of patient outcomes. In addition to these responsibilities, the Care Manager RN also performs the duties of the Moderate Care Manager including population management and coordination, self-management, education and oversight of the registries as they apply to those elements. The Care Manager RN will assist patients in optimizing their health status; provide interventions designed to avoid hospitalization and emergency room visits. What the RN Care Manager will need: Graduate of an accredited school of nursing. Bachelor of Science degree in Nursing required. Masters Degree in Nursing (or actively pursuing Masters Degree in Nursing) preferred. Recent care management experience preferred. Current licensure to practice nursing in Michigan. One year of experience in Care Management preferred and three years of clinical experience in nursing required. Our Commitment to Diversity and Inclusion Trinity Health is one of the largest not-for-profit, Catholic healthcare systems in the nation. Built on the foundation of our Mission and Core Values, we integrate diversity, equity, and inclusion in all that we do. Our colleagues have different lived experiences, customs, abilities, and talents. Together, we become our best selves. A diverse and inclusive workforce provides the most accessible and equitable care for those we serve. Trinity Health is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other status protected by law. Show more Show less"
linkedin:3771464419,archive,2024-01-14,https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,2024-01-21 07:40:00.251126+00,1,1,0,RESTAURANT SUPERVISOR - THE FORKLIFT,Wasatch Adaptive Sports,"Sandy, UT",2024-01-14,Tooele,United States,Stand-In,Mid senior,Onsite,"Restaurant Operations Management, Inventory Management, Food and Beverage Ordering, Profit Optimization, Guest Service, Front and Back of House Coordination, Employee Performance Management, Discipline and Rewards Management, Safety and Sanitation Maintenance, Directional Flow Management, Daily Records Maintenance, Profit and Loss Statement Preparation, Guest Complaint Handling, Interpersonal Skills, Guest Service Skills, Listening Skills, Oral Communication Skills, Conflict Management Skills, Dispute Resolution Skills, Reading and Writing Proficiency, Arithmetic Skills, Menu and Wine List Knowledge, Wine Knowledge, Money Handling Proficiency, Staff Direction, Guest Issue Resolution, Microsoft Office Applications, Data Protection and Security, PCI DSS Compliance, Privacy and Confidentiality, Reporting and Storage of Sensitive Information, Snowbird Operations Knowledge, Variable Work Schedule, Overnight Stays, Stress Management, Physical Strength, Tray Carrying Ability, Standing Ability, Bending and Kneeling Ability, Repetitive Motions Ability, Professional Appearance, Drug and Alcohol Policy Compliance, Employee Conduct Policy Compliance","Job Details Description What You'll Do As a Food and Beverage Supervisor and under the direction of the Food and Beverage Department, you'll be responsible for managing daily restaurant operation, including team member development and performance, inventory, ordering of food and supplies, optimize profits and ensure that guests are satisfied with their dining experience. Snowbird's Food And Beverage Supervisors Specific Job Responsibilities Responsible for coordinating and communicating with front and back of house personnel to provide a dining experience that exceeds guest expectations. Rewards and disciplines as merited by employee performance. Assigns, oversees and evaluates employee work performance. Recommends promotion, transfer or termination of employees based on performance evaluation. Ensures standards of appearance and sanitation are maintained on a daily basis. Maintains good safety practices of employees and guests throughout the property. Follows state policies and regulations for serving alcoholic beverages in a responsible manner. Provides directional flow of restaurant during service and plans, supervises all work done by dining room employees. Maintains daily records including revenues and payroll and is responsible for monthly profit and loss statements. Completes nightly reports. Reviews daily sales. Adjusts scheduling according to labor and sales figures. Ensures all guest needs are met during the course of the meal in order to achieve a positive dining experience. Handles guest complaints in a professional manner. Interactions Must have the ability to interact at any time with guests and other employees in a pleasant manner and maintain good working relationships with others and all departments at Snowbird. What You Need To Get The Job Done High School Diploma or equivalent required. Bachelor’s degree in related field. Additional related work experience may be substituted for education. 2-3 years of job-specific work experience with demonstrated competence. Must be at least 21 years of age. Food Handlers & Alcohol Certification. Sheriff Card Skills & Knowledge Must demonstrate strong interpersonal skills, including excellent guest service, listening and oral communication skills, conflict management skills and dispute resolution skills. Must demonstrate competency in reading, writing and arithmetic with accuracy in counting, adding subtracting, multiplying and dividing. Ability to learn menus and wine lists and display extensive knowledge in wine. Proficiency in handling large sums of money. Must direct staff activities and address guest issues while maintaining interactions between the dining room, the kitchen and the bar. Strong level of proficiency in Microsoft Office applications. Ability to handle, process, maintain and protect guest personal information, including credit card information, in compliance with all company or department policies and procedures according to PCI rules and requirements. This includes privacy and confidentiality, reporting, storage and disposal of sensitive information. Will not share or disclose any guest personal or financial information to anyone unless authorized by the guest, manager or company or unless disclosure is permitted within departmental policies and procedures. Knowledge and understanding of PCI DSS, including the safe and secure handling and maintenance of personal, financial and credit card information of guest/customers. Requires judgment within policy guidelines and initiation of activities within job description and responsibility limitations. Understanding of other Snowbird operations is essential. Work Schedule Shifts vary, may be early morning or late evening, weekends, holidays, depending on business levels. Must work 5 days per week. Working Conditions Must be prepared to stay overnight if necessary on occasional times of road closures. May experience unusual stress from continual work with public, winter conditions, snow night requirements and commuting to/from Snowbird. Must be able to lift 25 lbs. Must be able to carry trays and other items needed for service. Must be able to stand for long periods of time. Must demonstrate ability to bend, kneel, handle, reach, grasp and perform repetitive motions. All job opportunities at Snowbird require the ability to comply with our Professional Appearance, Drug & Alcohol, and Employee Conduct Policies. This job description is not intended to be an exhaustive list of all duties, responsibilities, or qualifications associated with the job. birdjobs Show more Show less"
linkedin:3797661348,archive,2024-01-16,https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,2024-01-21 07:40:00.308133+00,1,1,0,Independent Real Estate Agent,Howard Hanna | Rand Realty,"Englewood Cliffs, NJ",2024-01-16,Pinehurst,United States,Real-Estate Clerk,Mid senior,Onsite,"Real Estate, Customer Service, Sales, Negotiation, Communication, Home Listings, Local Real Estate Market, Representation Contracts, Purchase Agreements, Closing Statements, Deeds, Leases, Networking, Relationship Building, Flexibility, Work/Life Balance, High Income Potential, Equal Opportunity Employer","Who We Are Rand Realty is a family-owned brokerage born in 1984 when our founder, Marsha opened her new real estate office in a small town in Hudson Valley. Her vision was to build a brokerage strongly devoted to its agents and deeply committed to the community combining expertise and eye for detail with heart, soul and kindness. More than 35 years later, we've grown to more than 1,000 premier local agents with offices throughout Northern New Jersey, Westchester, Connecticut, The Bronx, Rockland, Dutchess, Putnam and Orange counties. Despite our growth or really, by virtue of it and the great people who have joined and represent our brand, the characteristics that defined us then, continue to dictate and delineate who we are. Today, Howard Hanna | Rand Realty is the preeminent real estate brokerage in New York, New Jersey and Connecticut, widely recognized as an industry leader for its agent training, career planning, technological innovation and market expertise. Build your career with the people who have your best interests in mind. Who You Are An Independent Real Estate Agent advises clients on every facet of the real estate sales and purchasing process. Conducting a real estate transaction can be a confusing and complicated process for clients so they depend on Independent Real Estate Agents to offer them expert advice, act as their advocate during negotiations and help them complete one of the most significant purchases and sales of their lives. The candidate should excel in customer service and understand the intricacies of home purchases and sales. Clients know that they have myriad real estate agents from which to choose, and it's up to you to make yourself stand out as unique and essential to meeting their real estate needs. This position is best suited for an individual who is self-motivated and enjoys working independently. In this role, you will... Network with other real estate professionals to market your home listings. Stay updated and informed on the local real estate market to be aware of current home listings and sales. Communicate effectively with all clients on a regular basis and answer their questions. Represent your clients during real estate negotiations and transactions. Show a desire to forge connections, build trust, and manage long-term relationships with individuals. Prepare documents such as representation contracts, purchase agreements, closing statements, deeds and leases. As a company, we will... Coach you through the licensing process for becoming a real estate agent. Provide you with training and support for best practices within our local real estate market. Offer you a flexible schedule so you can have a healthy work/life balance. Additional Details Compensation in the real estate market is related directly to a Real Estate Professional's performance. High-performing, dedicated agents have reasonable potential to make $50000 - $100000 / year or more after establishing a strong client base. You will find that the more time and work you put in, the more potential you will have for higher income. Notice: While a real estate license is not required to apply, you must obtain a real estate license before officially being hired. To earn a real estate license you will need to complete real estate classes (online or in-person) offered by an accredited learning institution and pass a state licensing exam. To learn more about the real estate licensing process, apply now and our recruiting team will provide additional details. Our Equal Opportunity Promise We are dedicated to fair hiring practices and operate as an equal opportunity employer. We do not discriminate on the basis of race, sexual orientation, age, marital status, religion, or nation of origin. We take pride in being exceptional leaders and citizens of our community and we're dedicated to treating all our potential employees with the same level of care and respect. Show more Show less"
linkedin:3803057508,archive,2024-01-17,https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,2024-01-19 09:45:09.215838+00,0,0,0,Group/Unit Supervisor (Systems Support Manager TSS),"IRS, Office of Chief Counsel","Chamblee, GA",2024-01-17,Gadsden,United States,Supervisor Travel-Information Center,Mid senior,Onsite,,
linkedin:3765316747,archive,2024-01-16,https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,2024-01-19 09:45:09.215838+00,0,0,0,Counselor-07532802,ICL,"Brooklyn, NY",2024-01-16,Oyster Bay,United States,Residence Counselor,Mid senior,Onsite,,
linkedin:3790954711,archive,2024-01-14,https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,2024-01-21 08:08:19.663033+00,1,1,0,Registered Nurse (RN),Trinity Health MI,"Muskegon, MI",2024-01-14,Muskegon,United States,Nurse Practitioner,Mid senior,Onsite,"Nursing, BSN, Medical License, Virtual RN, Nursing Support, Diversity, Equity, Inclusion, Equal Opportunity Employer","Employment Type: Full time Shift: 12 Hour Night Shift Description: 10th Floor Trauma,/Ortho/Med Surg 7p-7:30a 36hrs per week We offer a competitive salary and comprehensive benefits package including: Medical, Dental and Vision Coverage available on your first day 403b with employer match Tuition Reimbursement 100% paid CEU Paid Time Off Relocation Packages Available Job Types: Full time Shifts: Night Shift 7p - 7:30a 36 hours per week Unit: 10th floor - Trauma / Ortho / Med Surg What Registered Nurse, RN will need: Graduation from an accredited Nursing school and program Associates Degree in Nursing required, BSN preferred. Licensed in the State of Michigan 36hrs per wk- 7p-7:30a -weekends & holidays to be scheduled in accordance with the CBA. This position is part of a 3-person Care Team where you will have the opportunity to work alongside a Virtual RN and Nursing Support, giving you more time and help to focus on meeting the needs of each patient. Our Commitment to Diversity and Inclusion Trinity Health is one of the largest not-for-profit, Catholic healthcare systems in the nation. Built on the foundation of our Mission and Core Values, we integrate diversity, equity, and inclusion in all that we do. Our colleagues have different lived experiences, customs, abilities, and talents. Together, we become our best selves. A diverse and inclusive workforce provides the most accessible and equitable care for those we serve. Trinity Health is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other status protected by law. Show more Show less"
linkedin:3798316459,archive,2024-01-16,https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,2024-01-21 08:08:19.912883+00,1,1,0,Part Time- HR Generalist,Creative Financial Staffing (CFS),"New York, NY",2024-01-16,White Plains,United States,Human Resource Advisor,Mid senior,Onsite,"HR, Performance assessments, Interviews, Recruitment, Employee onboarding, Employee relations, Employee complaints","Title About The Company A leading consulting firm, who has been around for over 30 years! They partner with foundations, nonprofits, and companies to propel positive social change through strategy, capacity building, initiative design, strategic communication, and management. Located in West Midtown, 24-28 hours per week. Close knit team, corporate yet relaxed environment and excellent training provided! Overview Of The Role Performance reviews Setting up interviews and recruitment HR onboarding Managing employee complaints / employee relations Following up on reviews on new hires (90 day) Qualifications Non-profit experience is a plus! 3+ years of HR experience is a plus! #INJAN2024 #CBJAN2024 Show more Show less"
linkedin:3800482794,archive,2024-01-15,https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,2024-01-21 08:08:20.658147+00,1,1,0,Store Manager,B&M Retail,"London, England, United Kingdom",2024-01-15,Slough,United Kingdom,Double,Mid senior,Onsite,"Store Management, KPI Management, Team Leadership, Retail Experience, Sales Growth, Customer Service, Retail Standards, FMCG/Big Box Experience, Flexibility, OntheJob Training, Career Progression, Discount in Stores, Regular Double Discount Events, Paid Time Off, Pension Scheme, Diverse and Inclusive Environment","Are you a Store Manager, Assistant Manager, Trading Manager or Deputy Manager who thrives in a fast paced environment? Are you passionate about leading and developing your team? Are you looking for an exciting new challenge where you have the freedom to drive sales growth in a FTSE 100 growing retailer? Well, look no further . . . we have a fantastic opportunity to join one of our store teams in the East London Area as a Store Manager! With over 700 Stores across the UK and an exciting new store opening plan scheduled for 2024, we’re growing at an outstanding rate. We’re committed to developing our people and providing opportunities to everyone at all levels. Succession remains at the heart of what we do... 75% of our retail managers are home grown! Our growth is phenomenal and our commitment to internal succession is something we're extremely proud of. We are recruiting Store Managers that are passionate about maximising sales growth opportunities, looking after their people and leading from the front – all whilst having fun! As a team player who spends your time on the sales floor with your team, you’ll set the pace, drive commerciality, and showcase a great customer service experience for our customers. You’ll be passionate about recruiting and developing your team to succeed - supporting and training them to ensure they reach their full potential. You’ll love running your store as if it’s your own business and will be given the freedom to think for yourself! This is a full time & permanent position. What We’re Looking For In a Store Manager Experience of managing a large scale, fast-paced & high turnover retail store A consistent background of successfully delivering KPI’s and driving sales Experience of managing large teams of 15 or above in a retail environment A hands-on & resilient team player with a genuine passion for retail Commerciality & the ability to deliver excellent store standards An energetic leader, who thrives on supporting & developing their team The flexibility to work a range of hours, including weekends & bank holidays FMCG/big box experience is desirable Do you think this sounds like you? If so, keep on reading… At B&M, We Can Offer You A competitive salary, with a realistic annual bonus potential Job stability and ongoing career progression Fantastic on the job training and internal development 10% store discount in all our stores including Heron Regular double discount events Up to 33 days’ holiday, increasing with length of service A contributable pension scheme At B&M, we also offer great benefits including discount in our stores and our colleague portal offers additional discount for retailers, hospitality & more! For further information click https://careers.bmstores.co.uk/our-bm-benefits/ . Do you think this sounds like the ideal role for you? If so, we want to hear from you... apply today! B&M Retail are an equal opportunity employer. We are committed to creating an inclusive and diverse environment for all colleagues. Show more Show less"
linkedin:3767503688,archive,2024-01-14,https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,2024-01-21 08:08:20.998834+00,1,1,0,Engineering Project Coordinator,Shared Health-Soins Communs,"Winnipeg, Manitoba, Canada",2024-01-14,Manitoba,Canada,Program Coordinator,Mid senior,Onsite,"AUTOCAD, MS Project, Building Code Compliance, Construction methods, Sustainability design concepts, Barrierfree access, Environmental risks, Engineering, Project management, Construction management, Medical gases, Plumbing, Steam, HVAC, Building controls, Fire suppression, Power distribution, Nurse call, Access controls, Building envelope systems, Roofing, Glazing, Door systems, Business management, Business ethics, Negotiation, Planning, Organizing, Forecasting, Collaboration, Communication","Requisition ID: 349321 Position Number: 20032697 Posting End Date: Open until filled City: Winnipeg Site: St. Boniface Hospital Work Location: St. Boniface Hospital Department / Unit: Capital Planning Job Stream: Non-Clinical Union: Non Union Anticipated Start Date: ASAP FTE: 1.00 Anticipated Shift: Days Daily Hours Worked: 7.75 Annual Base Hours: 2015 Grow your career in the Winnipeg Health Region! Our team provides a spectrum of health care services through an integrated network of sites, services and organizations. We’re united by a shared commitment to excellent and equitable health care . Position Overview Reporting directly to the Director, Capital Planning & Property Management, and while demonstrating a commitment to the Mission, Values and Management Philosophy of St. Boniface Hospital, the ENGINEERING PROJECT CO-ORDINATOR, is responsible for delivery of campus infrastructure planning program, producing feasibility analysis of internal/external projects and contract administration of various construction projects. These functions include: project planning, assessing design & engineering feasibility, identifying scope of work, producing design concepts, estimates and construction drawings. Coordinating and/or supporting construction start up meetings; acting as Hospital representative and as a liaison with consultants and Regional Health Authority. Construction oversight of consultants, contractors and internal trades ensuring all Hospital standards as they relate to construction are met; conducting regular site visits, in conjunction with consultants; ensuring that construction conforms to plans and specifications; supporting the decanting process as it relates to construction projects; handling matters of contract administration; and performing other related duties as required. Experience Minimum (5) years recent related experience in facilities/capital design, planning with complex, multidisciplinary projects and operations. Project coordination experience in the health care field is considered an asset. Education (Degree/Diploma/Certificate) Successful completion of a university degree or technical college diploma in an engineering discipline (Electrical, Mechanical, Architectural, Construction, etc.), along with formal training of AUTOCAD tools. Project management certification is an asset. Good understanding of financial statements as they relate to construction. Working knowledge of MS Project software. Working knowledge of AUTOCAD and document management principles. Comprehension of Building Code Compliance and application, life cycle cost issues, construction methods, sustainability design concepts, barrier free access and environmental risks. Knowledge of engineering, project and construction management principles. Knowledge of health care infrastructure systems and equipment, including medical gases, plumbing, steam, HVAC, building controls, fire suppression, power distribution, nurse call, access controls. Knowledge of building envelope systems, roofing, glazing and door systems. Should have working knowledge of business management, business ethics and management principles. Note: An equivalent combination of education and experience, as deemed recognized by the Employer, may be considered in lieu of the above. Certification/Licensure/Registration Not Applicable Qualifications And Skills Ability to identify issues, and develop and analyze solutions to resolve problems. Excellent interpersonal and communication skills. Demonstrated planning, organizing and forecasting abilities. Demonstrated organizational and team collaboration skills. Effective negotiation skills. Ability to interact well with professionals at all levels, internally and externally. Physical Requirements Not Applicable St. Boniface Hospital is committed to empowering a workforce that welcomes and celebrates diversity by fostering culturally safe places for all employees. We strive to celebrate our diverse workforce and the outstanding work we do every day. This position requires a current satisfactory Criminal Records Check (including Vulnerable Sector Search), Child Abuse Registry Check and Adult Abuse Registry Check as conditions of employment. The successful candidate will be responsible for any service charges incurred. A security check is considered current if it was obtained no more than six (6) months prior to the start of employment. Interviewed candidates may be called upon to participate in a skills assessment. Any application received after the closing time will not be included in the competition. We welcome applications from people with disabilities. Accommodations are available upon request during the assessment and selection process. Show more Show less"
