job_key,source_dataset,snapshot_date,source_url,job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
linkedin:3802078767,archive,2024-01-15,https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,2024-01-21 07:12:29.00256+00,1,1,0,Account Executive - Dispensing (NorCal/Northern Nevada) - Becton Dickinson,BD,"San Diego, CA",2024-01-15,Coronado,United States,Color Maker,Mid senior,Onsite
linkedin:3803386312,archive,2024-01-14,https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,2024-01-21 07:39:58.88137+00,1,1,0,Registered Nurse - RN Care Manager,Trinity Health MI,"Norton Shores, MI",2024-01-14,Grand Haven,United States,Director Nursing Service,Mid senior,Onsite
linkedin:3771464419,archive,2024-01-14,https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,2024-01-21 07:40:00.251126+00,1,1,0,RESTAURANT SUPERVISOR - THE FORKLIFT,Wasatch Adaptive Sports,"Sandy, UT",2024-01-14,Tooele,United States,Stand-In,Mid senior,Onsite
linkedin:3797661348,archive,2024-01-16,https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,2024-01-21 07:40:00.308133+00,1,1,0,Independent Real Estate Agent,Howard Hanna | Rand Realty,"Englewood Cliffs, NJ",2024-01-16,Pinehurst,United States,Real-Estate Clerk,Mid senior,Onsite
linkedin:3803057508,archive,2024-01-17,https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,2024-01-19 09:45:09.215838+00,0,0,0,Group/Unit Supervisor (Systems Support Manager TSS),"IRS, Office of Chief Counsel","Chamblee, GA",2024-01-17,Gadsden,United States,Supervisor Travel-Information Center,Mid senior,Onsite
linkedin:3765316747,archive,2024-01-16,https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,2024-01-19 09:45:09.215838+00,0,0,0,Counselor-07532802,ICL,"Brooklyn, NY",2024-01-16,Oyster Bay,United States,Residence Counselor,Mid senior,Onsite
linkedin:3790954711,archive,2024-01-14,https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,2024-01-21 08:08:19.663033+00,1,1,0,Registered Nurse (RN),Trinity Health MI,"Muskegon, MI",2024-01-14,Muskegon,United States,Nurse Practitioner,Mid senior,Onsite
linkedin:3798316459,archive,2024-01-16,https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,2024-01-21 08:08:19.912883+00,1,1,0,Part Time- HR Generalist,Creative Financial Staffing (CFS),"New York, NY",2024-01-16,White Plains,United States,Human Resource Advisor,Mid senior,Onsite
linkedin:3800482794,archive,2024-01-15,https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,2024-01-21 08:08:20.658147+00,1,1,0,Store Manager,B&M Retail,"London, England, United Kingdom",2024-01-15,Slough,United Kingdom,Double,Mid senior,Onsite
linkedin:3767503688,archive,2024-01-14,https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,2024-01-21 08:08:20.998834+00,1,1,0,Engineering Project Coordinator,Shared Health-Soins Communs,"Winnipeg, Manitoba, Canada",2024-01-14,Manitoba,Canada,Program Coordinator,Mid senior,Onsite
