dataset,metric,value
postings,rows,100.0
postings,duplicate_key,0.0
postings,invalid_dates,0.0
postings,invalid_salary,0.0
postings,orphan_rows,0.0
postings,salary_valid_rows,41.0
postings,salary_median,67500.0
postings,nulls.job_id,0.0
postings,nulls.company_name,23.0
postings,nulls.title,0.0
postings,nulls.description,0.0
postings,nulls.max_salary,63.0
postings,nulls.pay_period,59.0
postings,nulls.location,0.0
postings,nulls.company_id,23.0
postings,nulls.views,4.0
postings,nulls.med_salary,96.0
postings,nulls.min_salary,63.0
postings,nulls.formatted_work_type,0.0
postings,nulls.applies,78.0
postings,nulls.original_listed_time,0.0
postings,nulls.remote_allowed,87.0
postings,nulls.job_posting_url,0.0
postings,nulls.application_url,81.0
postings,nulls.application_type,0.0
postings,nulls.expiry,0.0
postings,nulls.closed_time,100.0
postings,nulls.formatted_experience_level,97.0
postings,nulls.skills_desc,90.0
postings,nulls.listed_time,0.0
postings,nulls.posting_domain,90.0
postings,nulls.sponsored,0.0
postings,nulls.work_type,0.0
postings,nulls.currency,59.0
postings,nulls.compensation_type,59.0
postings,nulls.normalized_salary,59.0
postings,nulls.zip_code,18.0
postings,nulls.fips,21.0
archive,rows,100.0
archive,duplicate_key,0.0
archive,invalid_dates,0.0
archive,invalid_salary,0.0
archive,orphan_rows,0.0
archive,job_skills_rows,100.0
archive,job_skills_covered,0.0
archive,job_skills_missing_content,0.0
archive,job_summary_rows,100.0
archive,job_summary_covered,0.0
archive,job_summary_missing_content,0.0
archive,nulls.job_link,0.0
archive,nulls.last_processed_time,0.0
archive,nulls.got_summary,0.0
archive,nulls.got_ner,0.0
archive,nulls.is_being_worked,0.0
archive,nulls.job_title,0.0
archive,nulls.company,0.0
archive,nulls.job_location,0.0
archive,nulls.first_seen,0.0
archive,nulls.search_city,0.0
archive,nulls.search_country,0.0
archive,nulls.search_position,0.0
archive,nulls.job_level,0.0
archive,nulls.job_type,0.0
